"","Family Size","Males","Females","Natives","Not Natives","Male Occupation","Female Occupation","Born.slaves","Can.read","Can.write"
"87",2,1,1,0,2,"porter","washer",0,0,0
"88",2,1,1,0,2,"w.washer","washer",1,0,0
"89",4,3,1,3,1,"lab. $5 w","washer about $3.00 m.",0,1,1
"90",4,3,1,3,1,"Stevedore","days work",1,1,0
"91",6,3,3,4,2,"porter $20.00mo","domestic duties",1,2,1
"96",7,4,3,5,0,"laborer","washers",0,7,6
"98",3,1,2,1,2,"porter ab. $5.00w","days work",0,2,1
"99",7,2,5,5,2,"laborer","days work",0,3,1
"100",4,3,1,1,3,"1 lab. 1 boot black","days work",0,3,3
"101",4,3,1,1,3,"1 lab. 1 boot black","days work",0,3,3
"103",4,2,2,3,1,"service $10mo","service",0,1,0
"104",4,3,1,3,1,"2 barbers 1 port. & sign painter & photographist","school teacher",0,4,4
"105",7,4,3,0,7,"boot maker","2 dressmakers",0,4,4
"106",3,2,1,2,1,"barber $400 clear","dosmestic duties",0,3,3
"108",7,4,3,7,0,"barber about $45.00 month clear","domestic cuties",0,3,3
"109",3,1,2,2,1,"barber","2 washrs",0,3,3
"110",4,1,3,3,1,"waiter 412.00mo","shirt maker",0,2,2
"111",2,1,1,2,0,"laborer $15m","days work",2,2,2
"113",6,3,3,6,0,"Stevedore","dosmestic duties",0,4,3
"116",2,1,1,0,2,"wire worker ab. 6.00w","washer under $200w",0,1,0
"118",2,1,1,0,2,"seaman $23.00 m","washr",1,1,1
"119",2,1,1,0,0,"porter","service",0,0,0
"120",2,1,1,1,1,"seaman","sempstress",0,1,0
"122",7,3,4,7,0,"musician & boot mr.","domestic duties",0,2,1
"123",4,3,1,1,3,"drives fur. car $5.00w","washer",1,1,1
"129",8,6,2,3,5,"barber","dom. duties",0,6,6
"130",5,1,4,4,1,"ladies shoemaker","1 shirt m., 1 teacher, 1 palin sewer, 1 domestic duties",0,5,5
"131",5,1,2,4,1,"barber","1 domestic duties",0,1,1
"132",5,3,2,3,2,"porter about $1.25 day","1 dosmestic duties",1,1,0
"133",1,1,0,0,1,"Steward","1 domestic duties",1,1,1
"134",3,1,2,1,2,"porter $25.00 month sometimes","washing  & sewing",2,2,1
"135",6,3,3,0,6,"porter","days w.",2,2,0
"136",7,4,3,4,3,"barber","dom. duties",0,3,1
"138",2,1,1,0,2,"sea capt. about $40.00 month","doms. duties",0,2,2
"139",3,1,1,3,0,"service","doms. duties",0,1,1
"140",7,1,6,7,0,"Steward $20.00m.","washer",0,2,0
"144",2,1,1,2,0,"drives dray","days work",0,1,0
"145",3,1,2,3,0,"waiter","washer",0,2,2
"148",6,1,5,6,0,"waiter $12.00mo","dress maker",0,4,4
"149",5,3,2,4,1,"Porter $4.00w","1 washer 1 dressma.",0,2,2
"150",6,2,4,5,1,"1 barber $8.00m. 1 porter $20.00m","semptress",0,5,5
"151",4,3,1,2,2,"porter","washer",0,1,1
"153",5,2,3,4,1,"Seaman","washer",0,1,1
"154",8,3,5,7,1,"waiter","washer",0,4,2
"155",3,1,2,1,2,"clothes dealer","washer",0,3,1
"158",4,1,3,4,0,"barber","2 dress makers",0,4,4
"159",6,1,5,6,0,"tailoer","domestic duties",0,4,3
"160",6,4,2,6,0,"Stevedore","washer",0,4,3
"161",4,2,2,3,1,"boot maker","boot fitter",0,2,2
"162",4,2,2,3,1,"waiter about $10m","washer",0,2,1
"165",2,1,1,0,2,"porter","days work",0,0,0
"166",541,0,0,2,3,"porter","domestic duties",2,0,0
"168",8,2,6,8,0,"waiter","1 washer 1 dress maker",0,8,8
"169",5,2,3,5,0,"messanger $20.00m","1 washer 1 dressm. & milliner",0,4,2
"170",8,4,4,2,6,"whitewasher","washer",0,6,3
"171",2,1,1,0,2,"ice cream maker","domestic duties",0,1,1
"172",11,4,7,0,11,"boot maker","1 dom. duties 1 dress maker 1 sempstress",0,9,9
"174",2,1,1,0,0,"seaman","sempstress",0,2,0
"175",6,1,5,4,2,"sail maker","domestic duties",0,2,2
"176",9,2,7,0,9,"tailor","5 dress makers",0,9,9
"177",13,6,7,7,6,"boot maker","domestic duties",0,11,11
"178",8,3,3,6,1,"clothes dealer","1 washer 1 dress maker",1,4,2
"180",4,2,2,4,0,"laborer","domestic duties",0,4,2
"181",4,1,3,0,4,"laborer","washer",0,2,0
"182",8,6,2,7,1,"porter","domestic duties",0,6,6
"183",2,1,1,2,0,"porter $24m","washer",0,2,2
"184",6,1,5,6,0,"porter ","washer",0,4,0
"185",4,1,3,4,0,"hat dyer","washer",0,3,3
"188",3,2,1,1,2,"porter $29;00m","various",0,3,3
"191",2,1,1,2,0,"waiter $10m","washer about $25.00 year",0,1,1
"192",2,1,1,0,2,"laborer","washer",2,0,0
"196",5,2,3,4,1,"1 w. washer,french cook and musician, 1 traveling preacher","1 dom. duties, 1 washer",0,3,3
"197",3,2,1,1,2,"waiter $15m","washer about $40 a year",0,2,1
"198",5,4,1,5,0,"1 sweep 2 seaman","dress maker",0,0,0
"199",2,1,1,1,1,"laborer","white washer",0,1,0
"200",3,1,2,0,0,"laborer","service",0,0,0
"203",9,3,6,8,1,"currier $6.40w","domestic duties",0,3,1
"206",2,1,1,0,0,"waterman","days work",0,0,0
"207",2,1,1,1,1,"muscician","dress maker",0,2,2
"208",3,2,1,1,2,"Stevedore","washer",0,0,0
"209",2,1,11,0,2,"laborer $4 w","washer $30 year",0,1,0
"210",3,2,1,2,0,"1 Stevedore 1 Seaman","days work",0,3,1
"211",2,1,1,0,2,"Steward","Stewardess",0,2,0
"212",6,4,2,6,0,"porter","days work",0,6,2
"214",6,2,4,1,5,"boot black","washer",0,6,3
"222",5,2,3,4,1,"porter $5.00w","cool",0,2,1
"223",5,2,3,3,2,"porter about $300y","washer",0,5,5
"228",2,1,1,1,1,"boot maker","washer",0,1,2
"232",5,3,2,4,1,"Seaman $20: m","1 washer 1 sempstress",1,3,3
"233",4,2,2,3,1,"water","washer",0,2,2
"235",8,5,4,7,2,"waiter $10:m","washer",0,3,2
"237",2,1,1,1,1,"travelling minister","washer",0,2,2
"238",7,25,2,4,0,"barber","1 dress mkr 1 sempstress",0,4,2
"239",2,1,1,0,2,"seaman","washer & cooik",0,1,1
"243",4,2,2,3,1,"porter","days work",0,2,2
"244",7,2,5,0,0,"laborer","days work",0,0,0
"245",2,1,2,2,0,"porter","days work",0,1,2
"246",2,1,2,1,0,"boot & shoemaker","dress shirt maker about $75: year",0,2,2
"247",11,6,5,6,5,"gentleman","domestic duties",0,9,8
"248",6,2,4,0,6,"2 Stewards","1 dosmestic duties 2 dress & shirt makers",0,4,4
"249",5,2,3,3,2,"clothes dealer","1 domestic duties 1 pastry cook",0,2,4
"250",8,2,5,7,1,"1 porter 1 barbaer","1 washer 1 dressmaker",0,8,7
"253",9,4,5,8,3,"3 barbers","2 dressmakers 1 domestic duties",0,8,7
"254",3,1,2,0,2,"lab sometimes $1.00 say nothing when boat stops running","service $1.50w",0,1,0
"255",7,2,5,6,1,"steward $18.00m","sempstress",0,4,2
"256",2,1,1,0,2,"seaman","days work so irregular assist ?",0,0,0
"257",4,2,2,0,2,"putting in coal irregular can't tell","days work less than 2 days the yeat round",0,2,1
"258",4,2,2,2,2,"porter irregular","days work less than 2 days w",1,1,1
"259",4,2,2,2,2,"waiter $10m","dom. duties",0,0,0
"260",2,1,1,0,0,"laborer","service $1.50w sometimes",0,0,0
"262",3,1,2,3,0,"waiter $10m","days work 2 days in w 75c. day",0,2,1
"264",3,3,0,0,6,"coachman  $9m","1 days work",2,6,4
"267",4,1,3,0,4,"waiter $12m","washer about $34.00 quarter",0,3,2
"269",6,3,3,4,2,"porter","washer",0,4,3
"273",4,3,1,3,1,"cake seller average $2.00 week","washer",0,0,0
"278",4,2,2,4,0,"hat dyer ab. $7.00w","washer",0,0,0
"279",2,1,1,1,1,"laborer $3.50 w sometimes","service",1,1,1
"281",3,2,1,3,0,"works for a bottler $44.50w","doms. duties",0,1,1
"282",2,1,1,0,2,"laborer $5.00w","days work",0,1,1
"284",5,2,3,1,4,"1 at service","1 days work 2 service",0,5,4
"285",4,1,3,1,2,"lab. $3.00w in winter $4.00w in summer","days work irregular",0,1,0
"286",7,4,3,7,0,"waiter $15.00m","washer about $130: year",0,5,4
"288",6,1,5,5,1,"waiter","washer about $50: year",0,4,4
"291",7,4,3,3,2,"porter about $300:y","washer about $100: y",0,6,6
"292",2,1,1,1,0,"porter $5 w","washer",0,1,0
"293",2,1,1,1,1,"boot maker","days work",0,2,2
"301",5,2,3,2,3,"cook & Steward","dressmaker",0,4,3
"304",7,3,4,4,3,"waiter 10m","1 washer 1 dressmaker",2,3,2
"306",4,2,2,0,4,"eating house","assists husband",1,2,1
"307",7,2,5,1,0,"shoemaker ab. $9.00w","1 dressmaker 1 washer 1 nurse ab $5.00week",0,5,5
"308",7,3,4,2,5,"porter $4.50 w","3 shirt makers & quilters ab. $2.00w",0,5,5
"310",3,1,2,1,2,"stevedore $6.00 when canal is open","washer",1,2,0
"311",3,1,2,0,3,"waiter $8.00m","washer",1,11,1
"312",4,2,2,3,1,"1 laborer $1.50w","washer ab. $75 year",0,4,3
"313",5,0,3,2,0,"attends at men's Library $55.00year","Muffin baker",1,5,5
"314",7,1,6,6,1,"barber ab. $3.50: year","1 intelligence office 1 sempstress",0,7,7
"316",6,2,4,5,1,"waiter $14m","washer",0,4,5
"317",6,2,4,5,1,"waiter $14m","washer",0,4,5
"318",3,1,2,2,0,"laborer $20m","domestic duties",0,1,1
"319",4,1,3,2,2,"coachman $10.50m","washer $9:-m",1,1,1
"320",4,2,2,2,0,"porter","washer about $9:-m",0,2,1
"322",6,3,3,1,5,"hod carrier wood sawyer $1.00day year round","washer irregular",0,4,3
"323",2,1,1,1,1,"1 shoemaker $4.00w","sempstress",0,2,2
"325",3,1,2,2,1,"1 grain carrier ab. $1.75 day","dom. duties",0,2,1
"327",2,1,1,0,2,"1 service $10:-m","sempstress",2,0,0
"328",8,4,4,5,3,"1 hod carrier $1.00 1.12 & 125 in summer","days work in spring & fall",0,2,2
"329",5,1,4,0,0,"does nothing","1 washer 1 sempstress",0,4,4
"331",12,5,7,0,4,"white washer","3 white washers",1,7,6
"332",5,2,3,4,1,"oyster house 1 barber","1 washer 1 Tailoress",1,5,5
"334",9,5,4,6,3,"barber","1 waher 1 dressmaker",0,7,5
"335",7,4,3,5,2,"barber","dressm. & millener ab. 2.00w",1,3,3
"339",3,2,1,3,3,"2 hod carriers","days work",0,0,0
"342",3,2,1,2,1,"1 laborer 1 porter","washer very irregular",0,3,2
"343",3,1,2,1,2,"putting in coal irregular","days work irregular",0,1,1
"344",2,1,1,0,2,"lab. in stove store $4.00w","days work irregular",1,0,0
"345",3,1,2,0,3,"seaman irregular","days work irregular",1,0,0
"346",4,2,2,2,2,"laborer","domestic duties",1,0,0
"349",4,2,2,4,0,"1 various & irregular","days work irregular",0,31,0
"350",0,2,1,0,3,"1 seaman $18m","janiitor",0,1,1
"351",3,2,1,0,3,"rag gatherer","days work average $1.00w",0,1,1
"352",7,4,3,6,1,"hod carrier $1.25 a day sometimes","days work",0,4,2
"353",3,2,1,2,0,"various","days work",0,2,0
"354",4,1,3,4,0,"waiter","days work irregular",0,2,2
"356",6,3,3,5,1,"wood sawyer","1 days work 1 rag sorter $1.12w",0,1,0
"357",6,2,4,4,2,"porter","days work",0,2,1
"358",3,1,2,1,2,"drives cart $6 week","days work irregular",0,1,1
"359",6,4,2,3,3,"hod carrier irregular","days work irregular",0,1,0
"360",5,2,3,2,3,"various irregular","days work",1,1,0
"363",4,2,2,1,3,"2 laborers each $5 w","days work irregular",0,3,2
"364",4,1,3,0,4,"labr. $1 day in summer","days work very little",0,2,2
"365",2,1,1,0,2,"waterman","washer",2,2,0
"366",6,2,4,0,6,"1 puts in coal 1 laborer $1.12 day","1 domestic duties",2,3,0
"368",4,1,3,2,2,"waiter wages very low","days work a . $3 week",0,1,1
"369",6,1,5,4,2,"Coachman $13 m","white washer",1,5,5
"371",2,1,1,2,0,"no occupation lame","washer can't tell",0,1,0
"374",6,3,3,6,0,"1 w. washer ab. $6w year round","washer",0,3,1
"376",8,3,5,4,4,"1 tailor can't tell","3 washers $256:-year",0,7,7
"377",9,6,3,6,3,"barber don't know","3 dressmakers very little",1,7,6
"379",3,2,1,1,2,"porter sometimes $1.25 d","washer can't tell",0,1,1
"381",7,3,4,7,0,"porter $6.00w","dom. duties",0,4,3
"382",5,4,1,3,2,"1 porter very little1 drives coal cart $4 week","days work very little",0,1,0
"383",6,1,5,6,0,"drives dray","1 sempstress",0,4,2
"384",3,1,2,2,1,"tanner $5 week","dom. duties",0,2,1
"385",3,1,2,1,2,"various irregular","washer less than $1 w. year round",1,1,0
"386",10,6,4,7,3,"boat & shoemaker about $1000 a year","domestic duties",2,8,8
"387",5,2,3,3,2,"Porter about $150:--- y","washer about $150:-- year",2,4,3
"388",2,1,1,0,0,"drives dray $4 t0 5.00w","washer",0,2,1
"389",9,6,3,0,9,"4 barbers 1 coachman","1 dom. duties 1 dressmaker",0,9,9
"390",5,4,1,4,1,"porter $5 w","washer very little",0,1,0
"392",7,5,2,6,1,"confectioner","confectioner",0,5,4
"393",8,6,2,0,8,"2 waterman 2 porters","days work very little",0,0,0
"395",6,3,3,0,6,"3 laborers","washer very little",0,3,3
"396",5,3,2,2,3,"porter ab. $6w","washer irregular",0,3,2
"397",3,1,2,2,1,"1 laborer irregular","rug maker",0,3,1
"398",5,3,2,2,3,"porter but little","washer can't tell",0,4,0
"401",5,3,2,1,2,"1 wood sawyer 1 porter","washer but little",0,1,3
"402",3,2,1,2,1,"service","washer but little",1,2,2
"404",2,1,1,1,1,"stevedore can't tell","service",0,1,0
"405",4,2,2,0,4,"1 drives herse 1 various","washer irregular",0,2,0
"406",6,1,5,0,0,"hod carrier","1 does mothing",0,1,0
"407",4,2,2,1,3,"clothes dealer","washer very little",1,1,0
"408",10,3,7,6,4,"ab. $2000 year","dress m. millinary don't know",0,7,7
"409",2,1,1,1,1,"waiter $10m","days work ab. $2.00 w average",0,1,0
"410",4,2,3,1,3,"1 stone dealer 1 barber","shop keeper",1,2,1
"411",3,2,1,1,2,"hod carrier don't know","days work very little",0,1,1
"412",11,5,6,9,3,"1 various 1 seaman","1 washer 1 white washer",1,4,1
"413",2,1,2,1,1,"1 herb doctor can't tell","sempstress don't know",0,2,1
"414",3,1,2,1,2,"clothes dealer","school teacher",1,2,1
"415",4,1,3,4,0,"tailor irregular","dressm. very little",0,4,3
"417",4,4,0,0,4,"tailor irregular","cook",0,31,1
"418",4,3,1,2,2,"seaman $18m","washer $2.50 m",0,2,0
"420",12,7,5,0,12,"huxter","washer",0,2,0
"421",3,2,1,2,1,"1 shoemaker 4.50w","washer",0,1,1
"422",1,0,1,0,1,"1 school teacher","washer",1,1,1
"423",3,1,2,1,2,"cupper bleeder","washer",0,2,1
"428",5,2,3,3,2,"porter","washer",0,2,2
"429",5,2,3,3,2,"seaman","sempstress",0,2,2
"430",3,1,2,0,3,"eating house","assist husband",0,0,0
"431",8,5,3,2,6,"1 porter 1 laborer","days work",6,4,1
"432",4,2,2,2,2,"stevedore irregular","not able to work",0,1,1
"433",5,3,2,2,3,"porter very dull","washer little",0,3,1
"435",4,2,2,4,0,"seaman","dom. duties",0,4,3
"436",2,1,1,0,0,"stevedore","days work",0,0,0
"439",3,2,1,1,2,"various irregular","days work irregular",0,0,0
"441",4,1,3,2,2,"1 coachman $15 M","washer very little",0,1,1
"443",4,2,2,3,1,"lab. in stove store part of the time","washer about $50:-year",0,0,0
"444",4,2,2,0,4,"various very little","days work very dull",0,0,0
"445",3,1,2,2,1,"rag dealer","days work when can get it",0,2,0
"446",2,1,1,0,2,"rag dealer","dress.m nothing to do",0,2,2
"449",2,1,1,1,1,"waiter","cook",0,2,1
"450",4,2,2,2,2,"Stevedore irregular","washer not able to do much",1,1,1
"451",3,1,2,2,1,"porter","domestic duties",0,1,1
"452",2,1,1,1,1,"can't tell","washer",0,2,1
"453",3,1,2,3,0,"waiter","washer",0,2,1
"454",4,3,1,2,2,"waiter $10m","washer cant get much to do",1,1,0
"455",4,1,3,0,4,"waiter","washer irregular",1,2,1
"456",12,5,7,10,2,"paster Central Presbyterian Church $300 year","washer about $120:-year",1,10,7
"458",2,1,1,0,2,"seaman 20:-m","service",1,2,1
"460",3,2,1,1,2,"waiter $20 m","domestic duties",0,1,0
"463",5,3,2,0,5,"laborer","days work",0,2,1
"465",2,2,2,4,0,"porter","1 domestic duties",0,4,3
"469",9,4,5,2,7,"1 waiter $10m","washer don't know",0,3,1
"470",5,2,3,4,1,"steward ab. $30 m","sempstress",0,4,4
"471",5,3,2,3,2,"boot blacks ab. $20m","days work",1,4,4
"472",3,2,1,2,1,"boot blacks ab. $17m","shop keeper ab. $20 quarter",0,3,2
"473",6,4,2,4,2,"wood sawing when able","washes when able",1,6,4
"480",4,22,2,4,0,"porter","washer",0,4,4
"481",6,3,3,3,3,"seaman & cobbler","washer",1,3,2
"482",6,2,4,2,4,"Lab. in dug? mill 1 wood sawyer $2.50w","washing or sewing when can get it",1,0,0
"484",6,5,1,3,3,"1 hod carrier 1 various","domestic duties",3,2,0
"485",3,1,2,1,2,"laborer","washer",0,2,0
"486",7,2,4,6,1,"laborer","2 days work",0,0,0
"487",2,1,1,2,0,"drives cart","days work when can get it",0,0,0
"488",7,3,4,7,0,"hod carrier","days work occationally",0,3,2
"489",3,1,2,0,3,"cook","service",0,2,0
"490",5,2,3,4,1,"Stevedore","days work very dull",0,1,0
"492",3,1,2,1,2,"porter $5w","days work very little",0,0,0
"493",6,2,4,0,6,"porter irregular","not able to work",2,5,0
"494",4,2,2,1,3,"porter very little now","washer can't make much gets cheated so",1,3,1
"496",2,1,1,0,2,"seaman","cook $1.60w sometimes",0,1,1
"499",7,3,4,1,6,"hod carrier $6 0r $7 in good weather","1 dom. duties",0,1,0
"502",4,2,2,1,3,"seaman","days work",0,1,0
"505",9,1,8,4,5,"wood sawyer","days work",0,3,2
"506",2,1,1,0,2,"porter","huxter",1,2,1
"508",4,1,3,1,3,"various kinds","days work",0,2,0
"509",4,2,2,2,2,"seaman","days work when able",0,0,0
"511",2,1,1,2,0,"painter & glazier & waiter","days work very dull",0,2,1
"512",4,3,1,0,4,"1 porter 1 not able","dom. duties",1,1,1
"513",4,2,2,2,2,"hod carrier","washer when can get it",1,1,1
"515",5,4,1,2,3,"1 shoemaker 1 various very little","cuts carpet rags",0,1,1
"516",3,2,1,1,2,"various kinds","not able to work",0,1,0
"518",6,3,3,1,5,"1 laborer 1 porter","days work slack time now",0,4,2
"519",3,2,1,1,2,"laborer","days work",0,2,2
"520",7,3,4,4,3,"hod carrier","cook when able to go",0,2,0
"521",5,3,2,1,4,"1 seaman 1 various 1 grain carrier","cook",0,2,0
"522",3,1,2,3,0,"1 grain carrier can't tell","days work 50cts day sometimes",0,1,1
"524",3,2,1,0,0,"laborer","days work",0,0,0
"525",4,2,2,4,0,"laborer","cuts carpet rags less than 25cts day",0,1,1
"527",5,3,2,2,3,"seaman","2 at days work irregular",0,0,0
"528",2,2,0,1,1,"barber","1 assist father",1,2,2
"530",3,2,1,2,1,"porter $5w","various",0,2,1
"532",3,1,2,3,0,"shop keeper","huxter",0,2,0
"533",4,3,1,3,1,"lab. in drug store %5w","dom. duties",0,2,1
"534",3,1,2,0,3,"laborer $6w","1 dom. duties 1 dressmaker",0,3,2
"537",2,1,1,2,0,"coachman","washer",0,1,1
"538",2,1,1,0,2,"seaman","days work",0,2,2
"539",2,1,1,0,2,"temp. seamans C.h","assists husband",0,2,0
"540",2,1,1,0,2,"oyster stand irregular","quilter can't tell",1,2,0
"542",2,1,1,0,2,"shoemaker","domestic duties",0,1,1
"543",2,1,1,0,2,"laborer irregular","service",0,2,1
"545",4,2,2,1,3,"1 huxter& laborer 1 porter","days work & sempstress very dull",0,2,1
"546",4,3,1,4,0,"1 carter his own","domestic duties",0,2,1
"548",4,4,7,5,6,"waiter $10m","washer",1,6,5
"549",2,1,1,1,1,"waiter $11m","days work & sempstree uncertain",0,2,2
"550",2,1,1,2,1,"various","not able to work",0,0,0
"554",2,1,1,0,2,"1 seaman $17m","1 days work",0,1,0
"555",4,2,2,1,3,"1 seaman $20m 1 wood sawyer","1 eating house 1 sempstress",1,2,1
"561",2,11,0,0,2,"peddler","cake baker",0,1,0
"563",9,4,5,4,5,"1 seaman 1 porter","washer can't tell",1,3,0
"565",5,2,3,3,2,"wood sawyer","washer can't tell",0,0,0
"567",5,1,4,1,4,"hod carrier","days work",1,0,0
"570",3,1,2,1,2,"seamen $23m","washer ab. $30:-year",0,2,0
"572",4,3,1,2,2,"1 stevedore 1 hod carrier $1.25 d. sometimes","days work when can get it",0,3,2
"573",3,2,1,0,3,"various","washer & dressmaker",0,0,0
"574",3,2,1,0,3,"waterman","sempstress",0,0,0
"575",3,2,1,1,2,"carter his own","shop keeper",2,2,1
"576",2,1,1,1,1,"porter $5.00w","dressmr. very little",0,2,1
"578",7,1,6,1,6,"waterman $15m","days work",1,0,0
"579",2,1,1,0,0,"various","washer",0,2,1
"581",3,1,2,0,3,"well digger $4 or $5 week","days work abt. $.100w.",1,2,0
"583",2,1,1,0,2,"grain carrier","washer",1,1,0
"585",5,2,3,2,3,"1 carter his own 1 drives cart $5.00","days work",0,3,2
"586",2,1,1,2,0,"various sometimes $5.00w","washer irregular",0,2,1
"587",3,1,2,1,2,"showm. average $8.00w","dom. duties",0,2,1
"588",8,6,2,4,4,"shoem. & eating house 2 laborers","assists husbane",4,3,1
"589",3,2,1,1,2,"lab. in boat yard $5.00","service commonly",0,0,0
"591",2,1,1,0,0,"shoemaker is unsteady","service $1.00w",0,1,0
"592",3,2,1,1,0,"hod carrier","service",0,1,0
"594",2,1,1,0,2,"oyster house","service",0,0,0
"595",3,1,2,1,1,"painter & glazier","cook",0,3,2
"596",2,1,1,1,1,"hod carrier can't tell","dom. duties",0,2,1
"597",2,1,1,1,1,"porter not much","dom. duties",1,1,0
"598",2,1,1,1,1,"porter irregular","cook 2.50w",0,1,1
"599",4,2,2,3,1,"cake baker $5.00w","not able to work",0,0,0
"600",9,3,5,4,4,"laborer $3..w","2 washers",0,3,2
"602",3,1,2,1,0,"Stevedore can't tell","washer about $40: year",0,1,0
"603",4,3,1,3,1,"lab. in oyster h. $4w","washer",0,2,0
"604",3,1,2,0,3,"porter $6w","washer very little",3,0,0
"605",6,3,3,4,2,"waiter $10m","washer very little",0,6,6
"606",2,1,1,0,2,"porter irrgular","days work when can get it",0,1,0
"607",6,3,3,2,4,"well digger or anything can get to do","washer",2,1,0
"609",5,2,3,0,4,"wood sawye","washer a. $120: year",1,3,2
"610",7,3,4,6,0,"hominy dealer","washer can't tell",2,3,0
"612",8,4,4,3,5,"rag dealer can't tell","various",2,6,1
"614",4,2,2,2,2,"Stevedore dull in winter","days work irregular",1,1,0
"615",3,1,2,1,2,"hod carrier $1.12 in sum.","dom duties",0,0,0
"616",3,1,2,1,2,"waiter $12m","2 washers",0,1,0
"617",4,2,2,2,1,"waiter $4.50w","1 cook 1 dressm. $1 week year round",0,3,3
"618",2,1,1,1,1,"oyster peddler","1 cook $2.50w.",0,2,2
"619",5,3,2,4,1,"salt carrier irregular","washer",0,2,0
"621",5,4,1,4,0,"sweep","service",0,2,0
"622",2,1,1,1,1,"salt carrier","dom. duties",0,0,0
"624",2,1,1,0,2,"waiter $12 m","dressm. average $4.50w year round",0,2,2
"626",4,1,3,1,3,"seaman $19m","washer can't tell",0,1,0
"629",2,1,1,2,0,"porter 45.00","sempstress",0,2,2
"632",6,3,3,4,2,"porter can't tell","washer very little",0,0,0
"633",6,3,3,5,1,"2 porters","days work can't tell",0,2,1
"634",5,2,3,0,5,"2 porters","2 washers",1,2,1
"635",3,2,1,0,3,"1 wood sawyer 1 porter","midwife-aan't tell-gets so little of what she earns",3,0,0
"636",5,1,4,1,4,"laboter $2.50w","days work",0,0,0
"638",2,1,1,0,2,"porter","cuts carpet rags",1,1,1
"640",2,1,1,0,2,"porter","cuts carpet rags",1,2,0
"641",6,2,4,3,3,"seaman $19m","dom. duties",0,2,0
"642",6,3,3,2,4,"boarding house","assists husband",0,3,2
"643",6,1,5,6,0,"lab. with grain meast?","cook",0,1,1
"646",3,2,1,2,1,"barber can't tell","washer",0,1,1
"647",7,4,5,5,2,"putting in coal","dom. duties",0,5,0
"648",3,1,2,1,2,"porter $4.00 or 5. a w. sometimes","washer",1,0,0
"649",4,1,3,0,0,"barber","sempstress",0,0,1
"650",5,2,3,3,2,"laborer $5 w","washer when can get it",1,3,2
"651",4,2,2,3,1,"hod car. & wood sawyer","huxter part of the year",0,2,1
"652",3,1,2,2,1,"not able to work","1 nurse 1 service $1.50w",0,2,1
"653",9,2,7,8,1,"various","1 cook 2 make mats",0,2,2
"654",2,1,1,1,1,"crippled in his hands","nothing to do",0,1,0
"656",3,1,2,0,0,"porter","service",0,3,2
"657",3,1,2,2,1,"rag dealer","dressmaker",0,3,1
"658",3,0,3,2,1,"laborer irregular","days work when can get it",1,1,1
